"CANTON_LIB","RA_3010_DIM2_LIB","NB_ANIMAUX","POURCENTAGE_ANIMAUX"
"","",19835,100
"","chevres",400,2
"","total bovins",3975,20
"","total vaches",1756,9
"","total equides",218,1
"","total porcins",5203,26
"","brebis laitieres",5383,27
"","vaches allaitantes",1756,9
"","bovins d'un an ou plus",146,1
"","bovins de moins d'un an",800,4
"","truies reproductrices de 50 kg ou plus",198,1
"bastelica","",18562,94
"bastelica","chevres",400,2
"bastelica","total bovins",2702,14
"bastelica","total vaches",1756,9
"bastelica","total equides",218,1
"bastelica","total porcins",5203,26
"bastelica","brebis laitieres",5383,27
"bastelica","vaches allaitantes",1756,9
"bastelica","bovins d'un an ou plus",146,1
"bastelica","bovins de moins d'un an",800,4
"bastelica","truies reproductrices de 50 kg ou plus",198,1
"celavo-mezzana","",1273,6
"celavo-mezzana","total bovins",1273,6
